neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,tertiary_cell_class,secondary_cell_class,primary_cell_class,physical_integrity
1698,1-S3-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1699,1-S3-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1700,1-S3-A2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1701,1-S3-B1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1702,1-S4-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1703,1-S4-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1705,1-S6-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1706,1-S8-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1707,2-S10-B1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1708,2-S12-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1709,2-S4-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1710,2-S4-A2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1711,2-S4-A3,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1712,2-S5-B1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1761,7-S14-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1762,7-S3-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1763,7-S3-2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1764,7-S4-3,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1765,7-S5-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1766,7-S9-3,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1767,8-S10-A2,lewis,"as of january 2015, we became aware that the database contained an additional reconstruction file of this same neuron, named l1. the latter reconstruction is no longer available as an individual entry since version 6.2. the original files are still available for download <a href="" dablefiles/previous/v6.2/l1.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1768,8-S11-A1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1695,1-S20-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1704,1-S5-5,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1713,2-S6-B1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1734,4-S20-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1760,7-S13-1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1769,8-S11-B1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1779,9-S2-B2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1789,B-S16-A1,lewis,"as of january 2015, we became aware that the database contained an additional reconstruction file of this same neuron, named r4. the latter reconstruction is no longer available as an individual entry since version 6.2. the original files are still available for download <a href="" dablefiles/previous/v6.2/r4.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1798,C-S2-B1,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1807,C-S5-C6,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1816,D-S6-2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
1770,8-S5-A2,lewis,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 7.0 (sep 2015). the original files are still available for download <a href="" dablefiles/previous/v7.0/lewis.tar.gz "">here</a>. for any question or clarification, please <a href="" mailto:nmadmin@gmu.edu"">contact us</a>.",year,male/female,adult,human,not applicable,,golgi,control,in vitro,not reported,eutectic,oil,eutectic.nts,"dendrites, soma, no axon","diameter, 3d, no angles",60,not reported,,120,23,72,not reported,not reported,10.1001/archneur.1996.00550120089021,neocortex,frontal,inferior frontal gyrus,magnopyramidal,pyramidal,principal cell,dendrites incomplete
